from,to,intensity_forecast,intensity_actual,intensity_index
2024-01-01T00:00Z,2024-01-01T00:30Z,64,64,low
2024-01-01T00:30Z,2024-01-01T01:00Z,62,64,low
2024-01-01T01:00Z,2024-01-01T01:30Z,65,62,low
2024-01-01T01:30Z,2024-01-01T02:00Z,61,71,low
2024-01-01T02:00Z,2024-01-01T02:30Z,61,66,low
2024-01-01T02:30Z,2024-01-01T03:00Z,67,67,low
2024-01-01T03:00Z,2024-01-01T03:30Z,63,64,low
2024-01-01T03:30Z,2024-01-01T04:00Z,64,60,low
2024-01-01T04:00Z,2024-01-01T04:30Z,67,57,low
2024-01-01T04:30Z,2024-01-01T05:00Z,60,57,low
2024-01-01T05:00Z,2024-01-01T05:30Z,62,60,low
2024-01-01T05:30Z,2024-01-01T06:00Z,55,59,low
2024-01-01T06:00Z,2024-01-01T06:30Z,58,62,low
2024-01-01T06:30Z,2024-01-01T07:00Z,58,60,low
2024-01-01T07:00Z,2024-01-01T07:30Z,50,60,low
2024-01-01T07:30Z,2024-01-01T08:00Z,60,52,low
2024-01-01T08:00Z,2024-01-01T08:30Z,60,47,low
2024-01-01T08:30Z,2024-01-01T09:00Z,54,46,low
2024-01-01T09:00Z,2024-01-01T09:30Z,39,48,low
2024-01-01T09:30Z,2024-01-01T10:00Z,43,50,low
2024-01-01T10:00Z,2024-01-01T10:30Z,44,54,low
2024-01-01T10:30Z,2024-01-01T11:00Z,47,62,low
2024-01-01T11:00Z,2024-01-01T11:30Z,49,71,low
2024-01-01T11:30Z,2024-01-01T12:00Z,59,82,low
2024-01-01T12:00Z,2024-01-01T12:30Z,78,91,low
2024-01-01T12:30Z,2024-01-01T13:00Z,81,101,low
2024-01-01T13:00Z,2024-01-01T13:30Z,113,110,moderate
2024-01-01T13:30Z,2024-01-01T14:00Z,121,113,moderate
2024-01-01T14:00Z,2024-01-01T14:30Z,123,116,moderate
2024-01-01T14:30Z,2024-01-01T15:00Z,124,110,moderate
2024-01-01T15:00Z,2024-01-01T15:30Z,125,115,moderate
2024-01-01T15:30Z,2024-01-01T16:00Z,136,115,moderate
2024-01-01T16:00Z,2024-01-01T16:30Z,121,115,moderate
2024-01-01T16:30Z,2024-01-01T17:00Z,122,113,moderate
2024-01-01T17:00Z,2024-01-01T17:30Z,114,108,low
2024-01-01T17:30Z,2024-01-01T18:00Z,104,103,low
2024-01-01T18:00Z,2024-01-01T18:30Z,89,93,low
2024-01-01T18:30Z,2024-01-01T19:00Z,82,82,low
2024-01-01T19:00Z,2024-01-01T19:30Z,77,70,low
2024-01-01T19:30Z,2024-01-01T20:00Z,69,61,low
2024-01-01T20:00Z,2024-01-01T20:30Z,66,50,low
2024-01-01T20:30Z,2024-01-01T21:00Z,60,44,low
2024-01-01T21:00Z,2024-01-01T21:30Z,44,41,low
2024-01-01T21:30Z,2024-01-01T22:00Z,42,42,low
2024-01-01T22:00Z,2024-01-01T22:30Z,40,46,low
2024-01-01T22:30Z,2024-01-01T23:00Z,39,49,low
2024-01-01T23:00Z,2024-01-01T23:30Z,46,50,low
2024-01-01T23:30Z,2024-01-02T00:00Z,40,50,low
2024-01-02T00:00Z,2024-01-02T00:30Z,50,53,low
2024-01-02T00:30Z,2024-01-02T01:00Z,48,57,low
2024-01-02T01:00Z,2024-01-02T01:30Z,52,59,low
2024-01-02T01:30Z,2024-01-02T02:00Z,56,53,low
2024-01-02T02:00Z,2024-01-02T02:30Z,57,53,low
2024-01-02T02:30Z,2024-01-02T03:00Z,50,55,low
2024-01-02T03:00Z,2024-01-02T03:30Z,54,56,low
2024-01-02T03:30Z,2024-01-02T04:00Z,57,57,low
2024-01-02T04:00Z,2024-01-02T04:30Z,56,59,low
2024-01-02T04:30Z,2024-01-02T05:00Z,56,65,low
2024-01-02T05:00Z,2024-01-02T05:30Z,59,66,low
2024-01-02T05:30Z,2024-01-02T06:00Z,66,70,low
2024-01-02T06:00Z,2024-01-02T06:30Z,68,83,low
2024-01-02T06:30Z,2024-01-02T07:00Z,70,96,low
2024-01-02T07:00Z,2024-01-02T07:30Z,84,105,low
2024-01-02T07:30Z,2024-01-02T08:00Z,90,100,low
2024-01-02T08:00Z,2024-01-02T08:30Z,121,111,moderate
2024-01-02T08:30Z,2024-01-02T09:00Z,130,117,moderate
2024-01-02T09:00Z,2024-01-02T09:30Z,141,127,moderate
2024-01-02T09:30Z,2024-01-02T10:00Z,143,135,moderate
2024-01-02T10:00Z,2024-01-02T10:30Z,138,139,moderate
2024-01-02T10:30Z,2024-01-02T11:00Z,144,149,moderate
2024-01-02T11:00Z,2024-01-02T11:30Z,146,143,moderate
2024-01-02T11:30Z,2024-01-02T12:00Z,154,148,moderate
2024-01-02T12:00Z,2024-01-02T12:30Z,148,152,moderate
2024-01-02T12:30Z,2024-01-02T13:00Z,150,152,moderate
2024-01-02T13:00Z,2024-01-02T13:30Z,153,154,moderate
