lmk_key,property_type,built_form,current_energy_rating,current_energy_efficiency,glaz_type,walls_description,total_floor_area,postcode
EPC_000001,Bungalow,End-Terrace,D,33,double glazing,"Cavity wall, filled cavity",169,SW1A 10AA
EPC_000002,Bungalow,Mid-Terrace,C,38,double glazing,"Solid brick, as built, no insulation",102,SW1A 11AA
EPC_000003,Flat,Semi-Detached,D,67,single glazing,"Cavity wall, as built, no insulation",176,SW1A 12AA
EPC_000004,Maisonette,Mid-Terrace,A,77,double glazing,"Cavity wall, as built, no insulation",66,SW1A 13AA
EPC_000005,Bungalow,Detached,E,36,double glazing,"Cavity wall, as built, no insulation",85,SW1A 14AA
EPC_000006,Bungalow,Semi-Detached,D,69,double glazing,"Cavity wall, as built, no insulation",99,SW1A 15AA
EPC_000007,Flat,Detached,C,83,double glazing,"Solid brick, as built, no insulation",108,SW1A 16AA
EPC_000008,Bungalow,Mid-Terrace,C,35,single glazing,"Cavity wall, filled cavity",161,SW1A 17AA
EPC_000009,Bungalow,Mid-Terrace,C,70,single glazing,"Solid brick, as built, no insulation",141,SW1A 18AA
EPC_000010,Flat,Semi-Detached,C,54,single glazing,"Cavity wall, as built, no insulation",61,SW1A 19AA
EPC_000011,Flat,Semi-Detached,G,42,double glazing,"Cavity wall, filled cavity",62,SW1A 20AA
EPC_000012,House,End-Terrace,D,36,double glazing,"Solid brick, as built, no insulation",162,SW1A 21AA
EPC_000013,House,End-Terrace,D,35,single glazing,"Cavity wall, as built, no insulation",172,SW1A 22AA
EPC_000014,Bungalow,Mid-Terrace,D,48,double glazing,"Cavity wall, as built, no insulation",125,SW1A 23AA
EPC_000015,House,Mid-Terrace,B,38,single glazing,"Solid brick, as built, no insulation",116,SW1A 24AA
EPC_000016,Flat,Semi-Detached,D,73,double glazing,"Cavity wall, filled cavity",66,SW1A 25AA
EPC_000017,House,Detached,D,75,single glazing,"Cavity wall, as built, no insulation",60,SW1A 26AA
EPC_000018,House,Detached,D,58,double glazing,"Solid brick, as built, no insulation",53,SW1A 27AA
EPC_000019,House,Mid-Terrace,D,77,double glazing,"Cavity wall, as built, no insulation",101,SW1A 28AA
EPC_000020,Maisonette,Detached,D,51,double glazing,"Solid brick, as built, no insulation",114,SW1A 29AA
EPC_000021,Flat,Semi-Detached,C,72,double glazing,"Solid brick, as built, no insulation",71,SW1A 30AA
EPC_000022,House,Semi-Detached,D,74,double glazing,"Cavity wall, as built, no insulation",136,SW1A 31AA
EPC_000023,Flat,Semi-Detached,E,69,double glazing,"Cavity wall, as built, no insulation",108,SW1A 32AA
EPC_000024,House,Mid-Terrace,A,68,double glazing,"Cavity wall, filled cavity",154,SW1A 33AA
EPC_000025,Flat,End-Terrace,D,71,triple glazing,"Solid brick, as built, no insulation",174,SW1A 34AA
EPC_000026,Bungalow,Detached,F,84,double glazing,"Solid brick, as built, no insulation",132,SW1A 35AA
EPC_000027,Bungalow,End-Terrace,C,64,double glazing,"Cavity wall, filled cavity",61,SW1A 36AA
EPC_000028,Maisonette,Semi-Detached,C,86,double glazing,"Cavity wall, as built, no insulation",76,SW1A 37AA
EPC_000029,House,Mid-Terrace,C,46,triple glazing,"Cavity wall, filled cavity",109,SW1A 38AA
EPC_000030,Bungalow,Detached,D,59,double glazing,"Cavity wall, filled cavity",68,SW1A 39AA
EPC_000031,Flat,End-Terrace,C,46,double glazing,"Cavity wall, filled cavity",109,SW1A 40AA
EPC_000032,Bungalow,Semi-Detached,C,67,triple glazing,"Cavity wall, as built, no insulation",82,SW1A 41AA
EPC_000033,Bungalow,Semi-Detached,C,69,double glazing,"Cavity wall, as built, no insulation",136,SW1A 42AA
EPC_000034,Maisonette,End-Terrace,D,71,triple glazing,"Cavity wall, as built, no insulation",60,SW1A 43AA
EPC_000035,House,Detached,C,70,triple glazing,"Cavity wall, filled cavity",176,SW1A 44AA
EPC_000036,House,Semi-Detached,F,38,double glazing,"Cavity wall, as built, no insulation",124,SW1A 45AA
