value_exc_vat,value_inc_vat,valid_from,valid_to,payment_method
7.58,7.959,2024-01-01T00:00:00Z,2024-01-01T00:30:00Z,
10.92,11.466,2024-01-01T00:30:00Z,2024-01-01T01:00:00Z,
14.66,15.393,2024-01-01T01:00:00Z,2024-01-01T01:30:00Z,
7.37,7.7385,2024-01-01T01:30:00Z,2024-01-01T02:00:00Z,
6.55,6.8775,2024-01-01T02:00:00Z,2024-01-01T02:30:00Z,
4.2,4.41,2024-01-01T02:30:00Z,2024-01-01T03:00:00Z,
5.21,5.4705,2024-01-01T03:00:00Z,2024-01-01T03:30:00Z,
2.35,2.4675,2024-01-01T03:30:00Z,2024-01-01T04:00:00Z,
2.31,2.4255,2024-01-01T04:00:00Z,2024-01-01T04:30:00Z,
-2.44,-2.562,2024-01-01T04:30:00Z,2024-01-01T05:00:00Z,
2.1,2.205,2024-01-01T05:00:00Z,2024-01-01T05:30:00Z,
0.21,0.2205,2024-01-01T05:30:00Z,2024-01-01T06:00:00Z,
0.21,0.2205,2024-01-01T06:00:00Z,2024-01-01T06:30:00Z,
1.89,1.9845,2024-01-01T06:30:00Z,2024-01-01T07:00:00Z,
5.25,5.5125,2024-01-01T07:00:00Z,2024-01-01T07:30:00Z,
6.05,6.3525,2024-01-01T07:30:00Z,2024-01-01T08:00:00Z,
5.88,6.174,2024-01-01T08:00:00Z,2024-01-01T08:30:00Z,
10.92,11.466,2024-01-01T08:30:00Z,2024-01-01T09:00:00Z,
10.08,10.584,2024-01-01T09:00:00Z,2024-01-01T09:30:00Z,
14.28,14.994,2024-01-01T09:30:00Z,2024-01-01T10:00:00Z,
10.08,10.584,2024-01-01T10:00:00Z,2024-01-01T10:30:00Z,
12.6,13.23,2024-01-01T10:30:00Z,2024-01-01T11:00:00Z,
14.91,15.6555,2024-01-01T11:00:00Z,2024-01-01T11:30:00Z,
14.95,15.6975,2024-01-01T11:30:00Z,2024-01-01T12:00:00Z,
11.55,12.1275,2024-01-01T12:00:00Z,2024-01-01T12:30:00Z,
13.02,13.671,2024-01-01T12:30:00Z,2024-01-01T13:00:00Z,
15.81,16.6005,2024-01-01T13:00:00Z,2024-01-01T13:30:00Z,
16.8,17.64,2024-01-01T13:30:00Z,2024-01-01T14:00:00Z,
14.45,15.1725,2024-01-01T14:00:00Z,2024-01-01T14:30:00Z,
15.54,16.317,2024-01-01T14:30:00Z,2024-01-01T15:00:00Z,
12.6,13.23,2024-01-01T15:00:00Z,2024-01-01T15:30:00Z,
16.8,17.64,2024-01-01T15:30:00Z,2024-01-01T16:00:00Z,
30.81,32.3505,2024-01-01T16:00:00Z,2024-01-01T16:30:00Z,
33.16,34.818,2024-01-01T16:30:00Z,2024-01-01T17:00:00Z,
33.16,34.818,2024-01-01T17:00:00Z,2024-01-01T17:30:00Z,
31.06,32.613,2024-01-01T17:30:00Z,2024-01-01T18:00:00Z,
31.48,33.054,2024-01-01T18:00:00Z,2024-01-01T18:30:00Z,
25.89,27.1845,2024-01-01T18:30:00Z,2024-01-01T19:00:00Z,
15.12,15.876,2024-01-01T19:00:00Z,2024-01-01T19:30:00Z,
9.89,10.3845,2024-01-01T19:30:00Z,2024-01-01T20:00:00Z,
10.92,11.466,2024-01-01T20:00:00Z,2024-01-01T20:30:00Z,
12.6,13.23,2024-01-01T20:30:00Z,2024-01-01T21:00:00Z,
15.12,15.876,2024-01-01T21:00:00Z,2024-01-01T21:30:00Z,
9.62,10.101,2024-01-01T21:30:00Z,2024-01-01T22:00:00Z,
10.75,11.2875,2024-01-01T22:00:00Z,2024-01-01T22:30:00Z,
2.02,2.121,2024-01-01T22:30:00Z,2024-01-01T23:00:00Z,
3.02,3.171,2024-01-01T23:00:00Z,2024-01-01T23:30:00Z,
1.47,1.5435,2024-01-01T23:30:00Z,2024-01-02T00:00:00Z,
-1.93,-2.0265,2024-01-02T00:00:00Z,2024-01-02T00:30:00Z,
4.12,4.326,2024-01-02T00:30:00Z,2024-01-02T01:00:00Z,
1.47,1.5435,2024-01-02T01:00:00Z,2024-01-02T01:30:00Z,
-1.45,-1.5225,2024-01-02T01:30:00Z,2024-01-02T02:00:00Z,
2.39,2.5095,2024-01-02T02:00:00Z,2024-01-02T02:30:00Z,
0.84,0.882,2024-01-02T02:30:00Z,2024-01-02T03:00:00Z,
2.54,2.667,2024-01-02T03:00:00Z,2024-01-02T03:30:00Z,
-0.52,-0.546,2024-01-02T03:30:00Z,2024-01-02T04:00:00Z,
3.15,3.3075,2024-01-02T04:00:00Z,2024-01-02T04:30:00Z,
3.99,4.1895,2024-01-02T04:30:00Z,2024-01-02T05:00:00Z,
