property_id,property_type,epc_band,heat_pump_type,coldest_day_min_outdoor_temp_C,coldest_day_mean_indoor_temp_C,coldest_day_overnight_min_indoor_temp_C,wall_u_value,window_u_value,seasonal_cop
EoH_Home_001,Detached,E,ASHP,-5.1,19.1,17.4,1.68,1.7,2.82
EoH_Home_002,Bungalow,E,Hybrid,-2.7,19.0,13.5,0.82,2.33,2.21
EoH_Home_003,Semi-Detached,C,ASHP,-6.4,18.5,14.8,0.82,1.3,2.63
EoH_Home_004,Detached,D,GSHP,-2.8,17.7,17.4,1.41,2.14,2.58
EoH_Home_005,Detached,C,ASHP,-5.2,20.5,16.9,0.98,2.33,2.44
EoH_Home_006,Bungalow,E,GSHP,-6.0,20.3,16.7,0.64,1.84,3.04
EoH_Home_007,Semi-Detached,E,ASHP,-3.4,21.0,14.2,0.98,2.66,2.74
EoH_Home_008,Semi-Detached,D,ASHP,-3.7,21.0,13.8,0.51,1.4,2.21
EoH_Home_009,Detached,C,ASHP,-2.6,19.4,16.0,0.56,1.34,2.39
EoH_Home_010,Terraced,D,ASHP,-3.2,20.2,17.2,1.05,2.58,2.99
EoH_Home_011,Detached,D,ASHP,-2.9,20.8,15.5,0.93,2.14,2.2
EoH_Home_012,Detached,E,ASHP,-5.2,20.5,15.6,1.67,2.51,3.21
EoH_Home_013,Detached,E,ASHP,-5.7,18.4,14.3,0.84,2.03,2.74
EoH_Home_014,Detached,E,ASHP,-3.1,19.1,16.5,1.17,1.67,2.72
EoH_Home_015,Bungalow,D,ASHP,-2.9,18.0,13.8,1.25,2.76,2.87
EoH_Home_016,Semi-Detached,C,Hybrid,-2.0,20.8,14.5,0.32,2.72,3.17
EoH_Home_017,Bungalow,E,Hybrid,-4.6,19.6,14.9,1.3,2.52,2.55
EoH_Home_018,Bungalow,E,Hybrid,-4.8,18.3,15.3,0.57,1.72,2.98
EoH_Home_019,Bungalow,D,ASHP,-3.0,19.9,14.1,1.74,2.32,2.84
